Day,Period,Room_ID,Course_ID,Subcourse_ID,Length,Week_Signal,Week_Label,Timeslot_Index
0,3,rDS1,c0388,c0388_lec2,2,0,每周,3
0,3,rDS2,c0064,c0064_lec2,2,0,每周,3
0,3,rE,c0294,c0294_lec1,2,0,每周,3
0,3,rF,c0059,c0059_lec2,2,0,每周,3
0,3,rH,c0896,c0896_lec3,2,0,每周,3
0,3,rL,c0185,c0185_lec2,2,0,每周,3
0,4,r27,c0793,c0793_lec3,2,0,每周,4
0,4,r37,c0820,c0820_lec3,2,0,每周,4
0,4,r50,c0806,c0806_lec1,2,0,每周,4
0,4,r51,c0220,c0220_lec1,2,0,每周,4
0,4,rA,c0742,c0742_lec2,2,0,每周,4
0,4,rB,c0041,c0041_lec3,2,0,每周,4
0,4,rD,c0961,c0961_lec6,2,0,每周,4
0,4,rDS1,c0600,c0600_lec2,2,0,每周,4
0,4,rE,c0763,c0763_lec3,2,0,每周,4
0,4,rF,c0059,c0059_lec1,2,0,每周,4
0,4,rH,c0142,c0142_lec1,2,0,每周,4
0,4,rL,c0957,c0957_lec1,2,0,每周,4
1,0,r25,c0412,c0412_lec1,2,0,每周,5
1,0,r27,c0446,c0446_lec2,2,0,每周,5
1,0,r31,c0823,c0823_lec5,2,0,每周,5
1,0,r38,c0450,c0450_lec3,2,0,每周,5
1,0,r52,c0064,c0064_lec1,2,0,每周,5
1,0,rA,c0951,c0951_lec4,2,0,每周,5
1,0,rB,c0792,c0792_lec3,2,0,每周,5
1,0,rD,c0485,c0485_lec3,2,0,每周,5
1,0,rDS1,c0965,c0965_lec5,2,0,每周,5
1,0,rDS2,c0959,c0959_lec5,2,0,每周,5
1,0,rE,c0247,c0247_lec3,2,0,每周,5
1,0,rF,c0231,c0231_lec1,2,0,每周,5
1,0,rH,c0935,c0935_lec5,2,0,每周,5
1,0,rL,c0209,c0209_lec3,2,0,每周,5
1,1,r31,c0027,c0027_lec3,2,0,每周,6
1,1,r36,c0718,c0718_lec3,2,0,每周,6
1,1,r37,c0815,c0815_lec4,2,0,每周,6
1,1,r38,c0823,c0823_lec4,2,0,每周,6
1,1,r50,c0961,c0961_lec2,2,0,每周,6
1,1,r51,c0519,c0519_lec3,2,0,每周,6
1,1,r52,c0452,c0452_lec3,2,0,每周,6
1,1,rA,c0093,c0093_lec5,2,0,每周,6
1,1,rB,c0128,c0128_lec1,2,0,每周,6
1,1,rD,c0046,c0046_lec2,2,0,每周,6
1,1,rDS1,c0049,c0049_lec1,2,0,每周,6
1,1,rDS2,c0189,c0189_lec1,2,0,每周,6
1,1,rF,c0281,c0281_lec2,2,0,每周,6
1,1,rH,c0324,c0324_lec3,2,0,每周,6
1,1,rL,c0935,c0935_lec4,2,0,每周,6
1,2,r27,c0450,c0450_lec2,2,0,每周,7
1,2,r52,c0823,c0823_lec1,2,0,每周,7
1,2,rA,c0105,c0105_lec2,2,0,每周,7
1,2,rB,c0830,c0830_lec2,2,0,每周,7
1,2,rD,c0073,c0073_lec1,2,0,每周,7
1,2,rDS2,c0446,c0446_lec1,2,0,每周,7
1,2,rE,c0180,c0180_lec3,2,0,每周,7
1,2,rF,c0533,c0533_lec3,2,0,每周,7
1,2,rH,c0154,c0154_lec2,2,0,每周,7
1,2,rL,c0433,c0433_lec1,2,0,每周,7
1,3,r27,c0243,c0243_lec1,2,0,每周,8
1,3,r38,c0452,c0452_lec2,2,0,每周,8
1,3,r50,c0513,c0513_lec5,2,0,每周,8
1,3,r51,c101e,c101e_lec1,2,0,每周,8
1,3,r52,c0943,c0943_lec1,2,0,每周,8
1,3,rA,c0228,c0228_lec3,2,0,每周,8
1,3,rB,c0294,c0294_lec2,2,0,每周,8
1,3,rD,c0209,c0209_lec1,2,0,每周,8
1,3,rDS1,c0324,c0324_lec2,2,0,每周,8
1,3,rDS2,c0440,c0440_lec1,2,0,每周,8
1,3,rE,c0959,c0959_lec1,2,0,每周,8
1,3,rF,c0105,c0105_lec1,2,0,每周,8
1,3,rH,c0065,c0065_lec3,2,0,每周,8
1,3,rL,c0830,c0830_lec3,2,0,每周,8
1,4,r27,c0091,c0091_lec3,2,0,每周,9
1,4,r37,c0446,c0446_lec3,2,0,每周,9
1,4,r38,c0306,c0306_lec3,2,0,每周,9
1,4,r50,c0027,c0027_lec1,2,0,每周,9
1,4,r51,c0949,c0949_lec7,2,0,每周,9
1,4,r52,c0965,c0965_lec2,2,0,每周,9
1,4,rA,c0216,c0216_lec1,2,0,每周,9
1,4,rB,c0420,c0420_lec2,2,0,每周,9
1,4,rD,c0961,c0961_lec7,2,0,每周,9
1,4,rDS1,c0513,c0513_lec2,2,0,每周,9
1,4,rDS2,c0097,c0097_lec2,2,0,每周,9
1,4,rE,c0519,c0519_lec4,2,0,每周,9
1,4,rF,c0184,c0184_lec2,2,0,每周,9
1,4,rH,c0065,c0065_lec1,2,0,每周,9
1,4,rL,c0176,c0176_lec5,2,0,每周,9
2,0,r25,c0816,c0816_lec2,2,0,每周,10
2,0,r27,c0440,c0440_lec2,2,0,每周,10
2,0,r31,c0452,c0452_lec1,2,0,每周,10
2,0,r37,c0442,c0442_lec1,2,0,每周,10
2,0,r50,c0026,c0026_lec1,2,0,每周,10
2,0,r51,c0439,c0439_lec2,2,0,每周,10
2,0,r52,c0495,c0495_lec3,2,0,每周,10
2,0,rA,c0212,c0212_lec2,2,0,每周,10
2,0,rB,c0105,c0105_lec3,2,0,每周,10
2,0,rD,c0881,c0881_lec2,2,0,每周,10
2,0,rDS2,c0485,c0485_lec1,2,0,每周,10
2,0,rE,c0059,c0059_lec3,2,0,每周,10
2,0,rF,c0093,c0093_lec2,2,0,每周,10
2,0,rH,c0101,c0101_lec1,2,0,每周,10
2,0,rL,c0176,c0176_lec3,2,0,每周,10
2,1,r25,c0439,c0439_lec1,2,0,每周,11
2,1,r27,c0536,c0536_lec3,2,0,每周,11
2,1,r31,c0965,c0965_lec3,2,0,每周,11
2,1,r37,c0533,c0533_lec2,2,0,每周,11
2,1,r38,c0951,c0951_lec3,2,0,每周,11
2,1,r50,c0011,c0011_lec3,2,0,每周,11
2,1,r51,c0099,c0099_lec3,2,0,每周,11
2,1,rA,c0896,c0896_lec2,2,0,每周,11
2,1,rB,c0085,c0085_lec1,2,0,每周,11
2,1,rDS1,c0388,c0388_lec3,2,0,每周,11
2,1,rDS2,c0306,c0306_lec2,2,0,每周,11
2,1,rE,c0180,c0180_lec2,2,0,每周,11
2,1,rF,c0202,c0202_lec2,2,0,每周,11
2,2,r27,c0199,c0199_lec2,2,0,每周,12
2,2,r36,c0485,c0485_lec2,2,0,每周,12
2,2,r37,c0821,c0821_lec5,2,0,每周,12
2,2,r38,c0820,c0820_lec1,2,0,每周,12
2,2,r50,c0231,c0231_lec3,2,0,每周,12
2,2,r52,c0202,c0202_lec1,2,0,每周,12
2,2,rB,c0803,c0803_lec2,2,0,每周,12
2,2,rD,c0896,c0896_lec1,2,0,每周,12
2,2,rDS2,c0097,c0097_lec1,2,0,每周,12
2,2,rE,c0949,c0949_lec1,2,0,每周,12
2,2,rF,c0006,c0006_lec1,2,0,每周,12
2,2,rH,c0073,c0073_lec3,2,0,每周,12
2,2,rL,c0027,c0027_lec2,2,0,每周,12
2,3,r25,c0442,c0442_lec3,2,0,每周,13
2,3,r31,c0427,c0427_lec1,2,0,每周,13
2,3,r37,c0028,c0028_lec1,2,0,每周,13
2,3,r38,c0281,c0281_lec3,2,0,每周,13
2,3,r50,c0961,c0961_lec1,2,0,每周,13
2,3,r51,c0823,c0823_lec3,2,0,每周,13
2,3,r52,c0463,c0463_lec2,2,0,每周,13
2,3,rA,c0109,c0109_lec1,2,0,每周,13
2,3,rB,c0951,c0951_lec2,2,0,每周,13
2,3,rD,c0935,c0935_lec1,2,0,每周,13
2,3,rDS1,c0949,c0949_lec4,2,0,每周,13
2,3,rDS2,c0513,c0513_lec3,2,0,每周,13
2,3,rE,c0216,c0216_lec2,2,0,每周,13
2,3,rF,c0943,c0943_lec2,2,0,每周,13
2,3,rH,c0176,c0176_lec1,2,0,每周,13
2,3,rL,c0957,c0957_lec3,2,0,每周,13
2,4,r25,c0306,c0306_lec4,2,0,每周,14
2,4,r27,c0943,c0943_lec3,2,0,每周,14
2,4,r36,c0489,c0489_lec3,2,0,每周,14
2,4,r50,c0513,c0513_lec4,2,0,每周,14
2,4,r51,c0189,c0189_lec2,2,0,每周,14
2,4,r52,c0495,c0495_lec2,2,0,每周,14
2,4,rA,c0815,c0815_lec1,2,0,每周,14
2,4,rB,c0041,c0041_lec5,2,0,每周,14
2,4,rD,c0881,c0881_lec3,2,0,每周,14
2,4,rDS1,c0097,c0097_lec3,2,0,每周,14
2,4,rDS2,c0806,c0806_lec3,2,0,每周,14
2,4,rE,c0519,c0519_lec5,2,0,每周,14
2,4,rF,c0085,c0085_lec2,2,0,每周,14
2,4,rH,c0018,c0018_lec2,2,0,每周,14
2,4,rL,c0247,c0247_lec2,2,0,每周,14
3,0,r27,c0742,c0742_lec3,2,0,每周,15
3,0,r31,c0433,c0433_lec2,2,0,每周,15
3,0,r37,c0026,c0026_lec3,2,0,每周,15
3,0,r38,c0951,c0951_lec7,2,0,每周,15
3,0,r50,c0489,c0489_lec1,2,0,每周,15
3,0,r51,c0959,c0959_lec7,2,0,每周,15
3,0,r52,c0427,c0427_lec3,2,0,每周,15
3,0,rA,c0209,c0209_lec5,2,0,每周,15
3,0,rB,c0935,c0935_lec2,2,0,每周,15
3,0,rD,c0041,c0041_lec2,2,0,每周,15
3,0,rDS1,c0109,c0109_lec2,2,0,每周,15
3,0,rDS2,c0763,c0763_lec5,2,0,每周,15
3,0,rE,c0600,c0600_lec1,2,0,每周,15
3,0,rF,c0093,c0093_lec1,2,0,每周,15
3,0,rH,c0006,c0006_lec2,2,0,每周,15
3,0,rL,c0185,c0185_lec1,2,0,每周,15
3,1,r25,c0412,c0412_lec2,2,0,每周,16
3,1,r36,c0091,c0091_lec1,2,0,每周,16
3,1,r38,c0018,c0018_lec3,2,0,每周,16
3,1,r50,c0433,c0433_lec3,2,0,每周,16
3,1,r51,c0821,c0821_lec1,2,0,每周,16
3,1,r52,c0049,c0049_lec2,2,0,每周,16
3,1,rA,c0429,c0429_lec3,2,0,每周,16
3,1,rDS1,c0281,c0281_lec1,2,0,每周,16
3,1,rDS2,c200e,c200e_lec1,2,0,每周,16
3,1,rF,c0951,c0951_lec5,2,0,每周,16
3,1,rH,c0815,c0815_lec3,2,0,每周,16
3,1,rL,c0763,c0763_lec2,2,0,每周,16
3,2,r27,c0388,c0388_lec4,2,0,每周,17
3,2,r31,c0951,c0951_lec6,2,0,每周,17
3,2,r38,c0830,c0830_lec1,2,0,每周,17
3,2,r50,c0533,c0533_lec1,2,0,每周,17
3,2,r51,c0093,c0093_lec4,2,0,每周,17
3,2,r52,c0821,c0821_lec4,2,0,每周,17
3,2,rA,c0184,c0184_lec3,2,0,每周,17
3,2,rB,c0073,c0073_lec2,2,0,每周,17
3,2,rD,c0489,c0489_lec2,2,0,每周,17
3,2,rDS1,c0957,c0957_lec4,2,0,每周,17
3,2,rDS2,c0767,c0767_lec2,2,0,每周,17
3,2,rE,c0189,c0189_lec3,2,0,每周,17
3,2,rF,c0440,c0440_lec3,2,0,每周,17
3,2,rH,c0065,c0065_lec2,2,0,每周,17
3,2,rL,c0959,c0959_lec2,2,0,每周,17
3,3,r25,c0718,c0718_lec2,2,0,每周,18
3,3,r27,c0600,c0600_lec3,2,0,每周,18
3,3,r31,c0463,c0463_lec1,2,0,每周,18
3,3,r37,c0028,c0028_lec3,2,0,每周,18
3,3,r50,c0306,c0306_lec1,2,0,每周,18
3,3,r51,c0049,c0049_lec3,2,0,每周,18
3,3,rA,c0184,c0184_lec1,2,0,每周,18
3,3,rD,c0957,c0957_lec6,2,0,每周,18
3,3,rDS2,c0767,c0767_lec1,2,0,每周,18
3,3,rE,c0176,c0176_lec4,2,0,每周,18
3,3,rF,c0180,c0180_lec1,2,0,每周,18
3,3,rH,c0949,c0949_lec3,2,0,每周,18
3,3,rL,c0965,c0965_lec1,2,0,每周,18
3,4,r38,c0820,c0820_lec2,2,0,每周,19
3,4,r50,c0495,c0495_lec1,2,0,每周,19
3,4,r51,c0085,c0085_lec3,2,0,每周,19
3,4,r52,c0957,c0957_lec2,2,0,每周,19
3,4,rA,c0420,c0420_lec3,2,0,每周,19
3,4,rB,c0803,c0803_lec1,2,0,每周,19
3,4,rD,c0028,c0028_lec2,2,0,每周,19
3,4,rDS1,c0064,c0064_lec3,2,0,每周,19
3,4,rE,c0142,c0142_lec3,2,0,每周,19
3,4,rF,c0046,c0046_lec1,2,0,每周,19
3,4,rH,c0176,c0176_lec2,2,0,每周,19
3,4,rL,c0185,c0185_lec3,2,0,每周,19
4,0,r27,c0011,c0011_lec1,2,0,每周,20
4,0,r36,c0803,c0803_lec3,2,0,每周,20
4,0,r38,c0815,c0815_lec2,2,0,每周,20
4,0,r51,c0474,c0474_lec2,2,0,每周,20
4,0,rA,c0881,c0881_lec1,2,0,每周,20
4,0,rB,c0220,c0220_lec3,2,0,每周,20
4,0,rD,c0154,c0154_lec3,2,0,每周,20
4,0,rE,c0429,c0429_lec1,2,0,每周,20
4,0,rF,c0442,c0442_lec2,2,0,每周,20
4,0,rH,c0051,c0051_lec3,2,0,每周,20
4,1,r31,c0961,c0961_lec4,2,0,每周,21
4,1,r37,c0018,c0018_lec1,2,0,每周,21
4,1,r38,c0821,c0821_lec3,2,0,每周,21
4,1,r50,c0412,c0412_lec3,2,0,每周,21
4,1,r51,c0816,c0816_lec1,2,0,每周,21
4,1,r52,c0793,c0793_lec2,2,0,每周,21
4,1,rA,c0949,c0949_lec2,2,0,每周,21
4,1,rB,c0212,c0212_lec3,2,0,每周,21
4,1,rD,c0536,c0536_lec2,2,0,每周,21
4,1,rDS2,c0474,c0474_lec1,2,0,每周,21
4,1,rE,c0388,c0388_lec1,2,0,每周,21
4,1,rF,c0099,c0099_lec2,2,0,每周,21
4,1,rH,c0091,c0091_lec2,2,0,每周,21
4,1,rL,c0965,c0965_lec7,2,0,每周,21
4,2,r27,c0463,c0463_lec3,2,0,每周,22
4,2,r31,c0816,c0816_lec3,2,0,每周,22
4,2,r36,c0536,c0536_lec1,2,0,每周,22
4,2,r50,c0957,c0957_lec5,2,0,每周,22
4,2,r52,c0959,c0959_lec3,2,0,每周,22
4,2,rA,c0261,c0261_lec3,2,0,每周,22
4,2,rB,c0051,c0051_lec2,2,0,每周,22
4,2,rD,c0041,c0041_lec4,2,0,每周,22
4,2,rDS1,c0231,c0231_lec2,2,0,每周,22
4,2,rF,c0763,c0763_lec4,2,0,每周,22
4,2,rH,c0142,c0142_lec2,2,0,每周,22
4,2,rL,c0209,c0209_lec4,2,0,每周,22
4,3,r25,c0718,c0718_lec1,2,0,每周,23
4,3,r31,c0462,c0462_lec1,2,0,每周,23
4,3,r36,c0306,c0306_lec5,2,0,每周,23
4,3,r37,c0792,c0792_lec1,2,0,每周,23
4,3,rA,c0220,c0220_lec2,2,0,每周,23
4,3,rDS1,c0420,c0420_lec1,2,0,每周,23
4,3,rE,c0212,c0212_lec1,2,0,每周,23
4,3,rF,c0128,c0128_lec3,2,0,每周,23
4,3,rH,c0957,c0957_lec7,2,0,每周,23
4,3,rL,c0261,c0261_lec1,2,0,每周,23
4,4,r36,c0793,c0793_lec1,2,0,每周,24
4,4,r51,c0806,c0806_lec2,2,0,每周,24
4,4,rA,c0247,c0247_lec1,2,0,每周,24
4,4,rB,c0949,c0949_lec6,2,0,每周,24
4,4,rD,c0093,c0093_lec3,2,0,每周,24
4,4,rE,c0815,c0815_lec5,2,0,每周,24
4,4,rF,c0154,c0154_lec1,2,0,每周,24
4,4,rH,c0519,c0519_lec2,2,0,每周,24
4,4,rL,c0474,c0474_lec3,2,0,每周,24
